data,hora,ocorrência,endereço,bairro,município,cod_tipo,descrição,cód. sub tipo,desc. sub tipo,sit. encontrada,descrição finalização,obs. finalização
01/01/2020,06:07:23,M2281007,"EST RITA CACETE,  ",.A DEFINIR,.SAO CRISTOVAO,E08420,PERTURBACAO DO TRABALHO OU DO SOSSEGO ALHEIOS,E08420.5,EM VIA PUBLICA,,NADA CONSTATADO,
01/01/2020,06:09:38,M2281011,"POV SAO CRISTOVAO,  :NUMERAL INFORMADO 0",.NI,.SAO CRISTOVAO,E08420,PERTURBACAO DO TRABALHO OU DO SOSSEGO ALHEIOS,E08420.5,EM VIA PUBLICA,,FALTA DE VIATURA DISPONIVEL NA AREA E ESPECIALIZADAS,0010
01/01/2020,06:16:53,M2281019,"RUA DOM JOSE VICENTE TAVORA,  ",.A DEFINIR,.SAO CRISTOVAO,E08420,PERTURBACAO DO TRABALHO OU DO SOSSEGO ALHEIOS,E08420.1,EM RESIDENCIA,,FALTA DE VIATURA DISPONIVEL NA AREA E ESPECIALIZADAS,0010
01/01/2020,06:17:14,M2281020,"POV ARATICUM,  :NUMERAL INFORMADO 0",.NI,.ITAPORANGA D'AJUDA,E08420,PERTURBACAO DO TRABALHO OU DO SOSSEGO ALHEIOS,E08420.1,EM RESIDENCIA,,SOLICITANTE NÃO INF. O SUFICIENTE,028
01/01/2020,06:33:39,M2281041,"RUA SEM DENOMINACAO,  ",.NI,.SAO CRISTOVAO,E08420,PERTURBACAO DO TRABALHO OU DO SOSSEGO ALHEIOS,E08420.1,EM RESIDENCIA,,OCORRÊNCIA JÁ ATENDIDA,033
01/01/2020,07:45:08,M2281056,"RUA ELPIDIO BATISTA,  :NUMERAL INFORMADO 0",.A DEFINIR,.SAO CRISTOVAO,E08420,PERTURBACAO DO TRABALHO OU DO SOSSEGO ALHEIOS,E08420.1,EM RESIDENCIA,,FALTA DE VIATURA DISPONIVEL NA AREA E ESPECIALIZADAS,0010
01/01/2020,08:32:43,M2281099,"RUA A OITO CJ O DANTAS, 30 :NUMERAL INFORMADO 0",.SAO CONRADO,.ARACAJU,E08420,PERTURBACAO DO TRABALHO OU DO SOSSEGO ALHEIOS,E08420.2,EM VEICULO,,FALTA DE VIATURA DISPONIVEL NA AREA E ESPECIALIZADAS,SEM VTR ATIVA NO 1BPM APENAS 1 TATICO COM VARIA OCORRENCIA PARA ATENDIMENTO
01/01/2020,07:49:26,M2281112,"RUA OITENTA E NOVE CJ BRG EDUARDO GOMES, 115 : EST",.CJ BRG EDUARDO GOMES,.SAO CRISTOVAO,E08420,PERTURBACAO DO TRABALHO OU DO SOSSEGO ALHEIOS,E08420.1,EM RESIDENCIA,,FALTA DE VIATURA DISPONIVEL NA AREA E ESPECIALIZADAS,SEM VTR ATIVA NO 1BPM APENAS 1 TATICO COM VARIA OCORRENCIA PARA ATENDIMENTO
01/01/2020,08:10:25,M2281129,"RUA B ROSA ELZE, 8 :NUMERAL INFORMADO 0",.CJ ROSA ELZE,.SAO CRISTOVAO,E08420,PERTURBACAO DO TRABALHO OU DO SOSSEGO ALHEIOS,E08420.1,EM RESIDENCIA,,NADA CONSTATADO,
01/01/2020,09:27:07,M2281138,"RUA SEM DENOMINACAO,  ",,.SAO CRISTOVAO,E08420,PERTURBACAO DO TRABALHO OU DO SOSSEGO ALHEIOS,E08420.1,EM RESIDENCIA,,NADA CONSTATADO,
01/01/2020,08:39:45,M2281153,"POV CAUEIRA,  ",.NI,.ITAPORANGA D'AJUDA,E08420,PERTURBACAO DO TRABALHO OU DO SOSSEGO ALHEIOS,E08420.1,EM RESIDENCIA,,NADA CONSTATADO,
01/01/2020,08:42:51,M2281157,"RUA ELPIDIO BATISTA,  :NUMERAL INFORMADO 0",.A DEFINIR,.SAO CRISTOVAO,E08420,PERTURBACAO DO TRABALHO OU DO SOSSEGO ALHEIOS,E08420.1,EM RESIDENCIA,,FALTA DE VIATURA DISPONIVEL NA AREA E ESPECIALIZADAS,OK
01/01/2020,09:45:07,M2281158,"POV SAO CRISTOVAO,  ",.NI,.SAO CRISTOVAO,E08420,PERTURBACAO DO TRABALHO OU DO SOSSEGO ALHEIOS,E08420.5,EM VIA PUBLICA,,FALTA DE VIATURA DISPONIVEL NA AREA E ESPECIALIZADAS,OK
01/01/2020,08:52:03,M2281163,"AV PAULO BARRETO MENESES,  ",.A DEFINIR,.SAO CRISTOVAO,E08420,PERTURBACAO DO TRABALHO OU DO SOSSEGO ALHEIOS,E08420.1,EM RESIDENCIA,,FALTA DE VIATURA DISPONIVEL NA AREA E ESPECIALIZADAS,OK
01/01/2020,09:12:41,M2281178,"POV NOVA DESCOBERTA,  ",.A DEFINIR,.ITAPORANGA D'AJUDA,E08420,PERTURBACAO DO TRABALHO OU DO SOSSEGO ALHEIOS,E08420.1,EM RESIDENCIA,,FALTA DE VIATURA DISPONIVEL NA AREA E ESPECIALIZADAS,OK
01/01/2020,10:16:43,M2281181,"POV NOVA DESCOBERTA,  ",.A DEFINIR,.ITAPORANGA D'AJUDA,E08420,PERTURBACAO DO TRABALHO OU DO SOSSEGO ALHEIOS,E08420.2,EM VEICULO,,FALTA DE VIATURA DISPONIVEL NA AREA E ESPECIALIZADAS,OK
01/01/2020,09:30:36,M2281187,"RUA I CJ LAFAYETE COUTINHO, 2 :NUMERAL INFORMADO 0",.CJ HABITACIONAL LAF,.SAO CRISTOVAO,E08420,PERTURBACAO DO TRABALHO OU DO SOSSEGO ALHEIOS,E08420.2,EM VEICULO,,FALTA DE VIATURA DISPONIVEL NA AREA E ESPECIALIZADAS,OK
01/01/2020,09:33:44,M2281189,"POV CARDOSO,  ",.NI,.SAO CRISTOVAO,E08420,PERTURBACAO DO TRABALHO OU DO SOSSEGO ALHEIOS,E08420.5,EM VIA PUBLICA,,FALTA DE VIATURA DISPONIVEL NA AREA E ESPECIALIZADAS,OK
01/01/2020,10:22:47,M2281221,"RUA Q DOIS LOT ROSA DO OESTE, 61 : EST",.LTM ROSA DO OESTE,.SAO CRISTOVAO,E08420,PERTURBACAO DO TRABALHO OU DO SOSSEGO ALHEIOS,E08420.1,EM RESIDENCIA,,NADA CONSTATADO,
01/01/2020,10:45:57,M2281237,"RUA I CJ LAFAYETE COUTINHO, 21 : EST",.CJ HABITACIONAL LAF,.SAO CRISTOVAO,E08420,PERTURBACAO DO TRABALHO OU DO SOSSEGO ALHEIOS,E08420.2,EM VEICULO,,NADA CONSTATADO,
01/01/2020,11:07:29,M2281255,"RUA A CJ LUIZ ALVES I, 128 : EST",.A DEFINIR,.SAO CRISTOVAO,E08420,PERTURBACAO DO TRABALHO OU DO SOSSEGO ALHEIOS,E08420.2,EM VEICULO,,FALTA DE VIATURA DISPONIVEL NA AREA E ESPECIALIZADAS,OK
01/01/2020,11:09:09,M2281258,"POV NOVA DESCOBERTA,  ",.A DEFINIR,.ITAPORANGA D'AJUDA,E08420,PERTURBACAO DO TRABALHO OU DO SOSSEGO ALHEIOS,E08420.1,EM RESIDENCIA,,NADA CONSTATADO,
01/01/2020,11:38:14,M2281283,"TRV GRACILIANO F DOS SANTOS,  ",.A DEFINIR,.SAO CRISTOVAO,E08420,PERTURBACAO DO TRABALHO OU DO SOSSEGO ALHEIOS,E08420.1,EM RESIDENCIA,,FALTA DE VIATURA DISPONIVEL NA AREA E ESPECIALIZADAS,OK
01/01/2020,12:49:59,M2281290,"RUA COQUEIRINHO,  :NUMERAL INFORMADO 0",.A DEFINIR,.SAO CRISTOVAO,E08420,PERTURBACAO DO TRABALHO OU DO SOSSEGO ALHEIOS,E08420.1,EM RESIDENCIA,,FALTA DE VIATURA DISPONIVEL NA AREA E ESPECIALIZADAS,OK
01/01/2020,13:38:38,M2281380,"RUA VALDEMIR A V DOS SANTOS, 34 : EST",.LTM JAPUIRA,.SAO CRISTOVAO,E08420,PERTURBACAO DO TRABALHO OU DO SOSSEGO ALHEIOS,E08420.2,EM VEICULO,,NADA CONSTATADO,
01/01/2020,13:48:24,M2281384,"RUA VEN VALDOMIRO TEOFILO SANTOS, 389 : EST",.CJ ROSA ELZE,.SAO CRISTOVAO,E08420,PERTURBACAO DO TRABALHO OU DO SOSSEGO ALHEIOS,E08420.2,EM VEICULO,,NADA CONSTATADO,
01/01/2020,14:08:31,M2281402,"RUA ELPIDIO BATISTA NERI, 721 ",.CJ ROSA ELZE,.SAO CRISTOVAO,E08420,PERTURBACAO DO TRABALHO OU DO SOSSEGO ALHEIOS,E08420.1,EM RESIDENCIA,,NADA CONSTATADO,
01/01/2020,14:14:06,M2281408,"RUA JOSE AUGUSTO BARRETO,  ",.A DEFINIR,.SAO CRISTOVAO,E08420,PERTURBACAO DO TRABALHO OU DO SOSSEGO ALHEIOS,E08420.1,EM RESIDENCIA,,FALTA DE VIATURA DISPONIVEL NA AREA E ESPECIALIZADAS,OK
01/01/2020,14:17:07,M2281413,"RUA DOM JOSE VICENTE TAVORA,  ",.A DEFINIR,.SAO CRISTOVAO,E08420,PERTURBACAO DO TRABALHO OU DO SOSSEGO ALHEIOS,E08420.1,EM RESIDENCIA,,FALTA DE VIATURA DISPONIVEL NA AREA E ESPECIALIZADAS,OK
01/01/2020,14:31:29,M2281421,"RUA MABEL ASSIS SANTOS, 89 :NUMERAL INFORMADO 115",.LTM JACANA I,.SAO CRISTOVAO,E08420,PERTURBACAO DO TRABALHO OU DO SOSSEGO ALHEIOS,E08420.2,EM VEICULO,,FALTA DE VIATURA DISPONIVEL NA AREA E ESPECIALIZADAS,OK
01/01/2020,14:41:26,M2281433,"RUA A LOT PLANALTO, 206 :NUMERAL INFORMADO 0",.LTM PLANALTO,.SAO CRISTOVAO,E08420,PERTURBACAO DO TRABALHO OU DO SOSSEGO ALHEIOS,E08420.5,EM VIA PUBLICA,,FALTA DE VIATURA DISPONIVEL NA AREA E ESPECIALIZADAS,OK
01/01/2020,15:15:39,M2281463,"RUA CINQUENTA E TRES A CJ BRG EDUARDO GOMES, 29 : EST",.CJ BRG EDUARDO GOMES,.SAO CRISTOVAO,E08420,PERTURBACAO DO TRABALHO OU DO SOSSEGO ALHEIOS,E08420.2,EM VEICULO,,SOLICITANTE NÃO INF. O SUFICIENTE,
01/01/2020,15:35:03,M2281475,"EST RITA CACETE,  ",.A DEFINIR,.SAO CRISTOVAO,E08420,PERTURBACAO DO TRABALHO OU DO SOSSEGO ALHEIOS,E08420.5,EM VIA PUBLICA,,NADA CONSTATADO,
01/01/2020,16:18:35,M2281513,"POV CAUEIRA,  ",.NI,.ITAPORANGA D'AJUDA,E08420,PERTURBACAO DO TRABALHO OU DO SOSSEGO ALHEIOS,E08420.2,EM VEICULO,,NADA CONSTATADO,
01/01/2020,16:58:22,M2281537,"RUA TELMA VIDAL,  :NUMERAL INFORMADO 69",.A DEFINIR,.SAO CRISTOVAO,E08420,PERTURBACAO DO TRABALHO OU DO SOSSEGO ALHEIOS,E08420.1,EM RESIDENCIA,,NADA CONSTATADO,
01/01/2020,16:59:50,M2281538,"RUA F UM CJ BRG EDUARDO GOMES, 124 : EST",.CJ BRG EDUARDO GOMES,.SAO CRISTOVAO,E08420,PERTURBACAO DO TRABALHO OU DO SOSSEGO ALHEIOS,E08420.2,EM VEICULO,,NADA CONSTATADO,
01/01/2020,17:06:20,M2281547,"RUA DOM JOSE VICENTE TAVORA,  ",.A DEFINIR,.SAO CRISTOVAO,E08420,PERTURBACAO DO TRABALHO OU DO SOSSEGO ALHEIOS,E08420.1,EM RESIDENCIA,,NADA CONSTATADO,
01/01/2020,17:16:58,M2281560,"RUA LINHA FERREA,  ",.NI,.ITAPORANGA D'AJUDA,E08420,PERTURBACAO DO TRABALHO OU DO SOSSEGO ALHEIOS,E08420.1,EM RESIDENCIA,,NADA CONSTATADO,
01/01/2020,17:31:08,M2281571,"RUA TELMA VIDAL,  ",.A DEFINIR,.SAO CRISTOVAO,E08420,PERTURBACAO DO TRABALHO OU DO SOSSEGO ALHEIOS,E08420.1,EM RESIDENCIA,,FALTA DE VIATURA DISPONIVEL NA AREA E ESPECIALIZADAS,SEM VTR
01/01/2020,17:43:10,M2281584,"RUA TRINTA E NOVE CJ BRG EDUARDO GOMES, 115 : EST",.CJ BRG EDUARDO GOMES,.SAO CRISTOVAO,E08420,PERTURBACAO DO TRABALHO OU DO SOSSEGO ALHEIOS,E08420.2,EM VEICULO,,FALTA DE VIATURA DISPONIVEL NA AREA E ESPECIALIZADAS,FALTA DE VTR.
01/01/2020,17:44:09,M2281587,"RUA M CJ LAFAYETE COUTINHO, 0 : EST",.CJ HABITACIONAL LAF,.SAO CRISTOVAO,E08420,PERTURBACAO DO TRABALHO OU DO SOSSEGO ALHEIOS,E08420.2,EM VEICULO,,ENDEREÇO NÃO LOCALIZADO,
01/01/2020,17:46:32,M2281588,"RUA G LOT MADRE PULINA, 186 : EST",.LTM MADRE PAULINA,.SAO CRISTOVAO,E08420,PERTURBACAO DO TRABALHO OU DO SOSSEGO ALHEIOS,E08420.1,EM RESIDENCIA,,FALTA DE VIATURA DISPONIVEL NA AREA E ESPECIALIZADAS,FALTA DE VTR.
01/01/2020,17:57:47,M2281602,"RUA TREZE CJ BRG EDUARDO GOMES, 170 : EST",.CJ BRG EDUARDO GOMES,.SAO CRISTOVAO,E08420,PERTURBACAO DO TRABALHO OU DO SOSSEGO ALHEIOS,E08420.1,EM RESIDENCIA,,FALTA DE VIATURA DISPONIVEL NA AREA E ESPECIALIZADAS,FALTA DE VTR.
01/01/2020,18:10:02,M2281612,"RUA A CJ LAFAYETE COUTINHO, 81 : EST",.CJ HABITACIONAL LAF,.SAO CRISTOVAO,E08420,PERTURBACAO DO TRABALHO OU DO SOSSEGO ALHEIOS,E08420.2,EM VEICULO,,FALTA DE VIATURA DISPONIVEL NA AREA E ESPECIALIZADAS,FALTA DE VTR.
01/01/2020,18:26:26,M2281627,"RUA JOAO BEBE AGUA,  ",.A DEFINIR,.SAO CRISTOVAO,E08420,PERTURBACAO DO TRABALHO OU DO SOSSEGO ALHEIOS,E08420.2,EM VEICULO,,FALTA DE VIATURA DISPONIVEL NA AREA E ESPECIALIZADAS,FALTA DE VTR.
01/01/2020,18:33:47,M2281636,"TV IRINEU NERI,  ",.A DEFINIR,.SAO CRISTOVAO,E08420,PERTURBACAO DO TRABALHO OU DO SOSSEGO ALHEIOS,E08420.1,EM RESIDENCIA,,FALTA DE VIATURA DISPONIVEL NA AREA E ESPECIALIZADAS,FALTA DE VTR.
01/01/2020,19:55:46,M2281740,"RUA MESSIAS PRADO,  ",.A DEFINIR,.SAO CRISTOVAO,E08420,PERTURBACAO DO TRABALHO OU DO SOSSEGO ALHEIOS,E08420.1,EM RESIDENCIA,,NADA CONSTATADO,
01/01/2020,20:24:39,M2281765,"RUA LEONARDO ADRIANO VITORIA,  ",.A DEFINIR,.SAO CRISTOVAO,E08420,PERTURBACAO DO TRABALHO OU DO SOSSEGO ALHEIOS,E08420.2,EM VEICULO,,FALTA DE VIATURA DISPONIVEL NA AREA E ESPECIALIZADAS,SEM VTR
01/01/2020,20:26:58,M2281769,"TV IRINEU NERI,  ",.A DEFINIR,.SAO CRISTOVAO,E08420,PERTURBACAO DO TRABALHO OU DO SOSSEGO ALHEIOS,E08420.2,EM VEICULO,,FALTA DE VIATURA DISPONIVEL NA AREA E ESPECIALIZADAS,"SEM, VTR"
01/01/2020,20:34:17,M2281776,"RUA SEM DENOMINACAO,  ",.NI,.ITAPORANGA D'AJUDA,E08420,PERTURBACAO DO TRABALHO OU DO SOSSEGO ALHEIOS,E08420.1,EM RESIDENCIA,,FALTA DE VIATURA DISPONIVEL NA AREA E ESPECIALIZADAS,SEM VTR
01/01/2020,20:41:27,M2281781,"RUA F CJ BRG EDUARDO GOMES,  ",.CJ BRG EDUARDO GOMES,.SAO CRISTOVAO,E08420,PERTURBACAO DO TRABALHO OU DO SOSSEGO ALHEIOS,E08420.1,EM RESIDENCIA,,NADA CONSTATADO,
01/01/2020,21:08:03,M2281820,"RUA CEL ERUNDINO PRADO FILHO,  ",.A DEFINIR,.SAO CRISTOVAO,E08420,PERTURBACAO DO TRABALHO OU DO SOSSEGO ALHEIOS,E08420.2,EM VEICULO,,NADA CONSTATADO,
01/01/2020,21:13:03,M2281823,"RUA ALFREDO PEREIRA MATOS,  ",.A DEFINIR,.SAO CRISTOVAO,E08420,PERTURBACAO DO TRABALHO OU DO SOSSEGO ALHEIOS,E08420.1,EM RESIDENCIA,,OCORRÊNCIA JÁ ATENDIDA,OCORERENCIA JA FORA ATENDIDA
01/01/2020,21:26:14,M2281841,"AV ARACELES RODRIGUES CORREIA,  ",.A DEFINIR,.SAO CRISTOVAO,E08420,PERTURBACAO DO TRABALHO OU DO SOSSEGO ALHEIOS,E08420.1,EM RESIDENCIA,,NADA CONSTATADO,
01/01/2020,21:49:48,M2281854,"POV RITA CACETE,  ",.A DEFINIR,.SAO CRISTOVAO,E08420,PERTURBACAO DO TRABALHO OU DO SOSSEGO ALHEIOS,E08420.2,EM VEICULO,,NADA CONSTATADO,
01/01/2020,22:05:15,M2281871,"RUA SEM DENOMINACAO,  ",.A DEFINIR,.SAO CRISTOVAO,E08420,PERTURBACAO DO TRABALHO OU DO SOSSEGO ALHEIOS,E08420.5,EM VIA PUBLICA,,NADA CONSTATADO,
01/01/2020,22:40:17,M2281893,"RUA N UM LOT ROSA DO OESTE, 134 : EST",.LTM ROSA DO OESTE,.SAO CRISTOVAO,E08420,PERTURBACAO DO TRABALHO OU DO SOSSEGO ALHEIOS,E08420.1,EM RESIDENCIA,,NADA CONSTATADO,
02/01/2020,09:17:10,M2281987,"RUA E CJ ANTONIO C VALADARES,  :NUMERAL INFORMADO 0",.NI,.ITAPORANGA D'AJUDA,E08420,PERTURBACAO DO TRABALHO OU DO SOSSEGO ALHEIOS,E08420.1,EM RESIDENCIA,,FALTA DE VIATURA DISPONIVEL NA AREA E ESPECIALIZADAS,CONTATO INVIÁVEL
